Gene	Human Immune Population	Group
SIRPB2	Neutrophils LD	V-set domain containing|Signal regulatory proteins
APOBEC3A	Neutrophils LD	Apolipoprotein B mRNA editing enzyme catalytic subunits
LILRA6	Neutrophils LD	CD molecules|Activating leukocyte immunoglobulin like receptors
LILRB3	Neutrophils LD	CD molecules|Inhibitory leukocyte immunoglobulin like receptors
SIGLEC5	Neutrophils LD	CD molecules|V-set domain containing|Sialic acid binding Ig like lectins
TMEM272	Neutrophils LD	?
SIRPD	Neutrophils LD	V-set domain containing|Signal regulatory proteins
H2AC19	Neutrophils LD	H2A histones
PLAAT2	Plasmablasts	Phospholipase A and acyltransferase family
APOBEC3B	Plasmablasts	Apolipoprotein B mRNA editing enzyme catalytic subunits|Minor histocompatibility antigens
ZNF385D	Progenitors	?
SULT1C4	Progenitors	Sulfotransferases, cytosolic
ST6GAL2	Progenitors	Sialyltransferases
TPSB2	Progenitors	?
MAP7	Progenitors	?
NUDT10	Progenitors	Nudix hydrolase family
TPSD1	Progenitors	?
LRRC70	Progenitors	?
MYB	Progenitors	Myb/SANT domain containing
DPY19L2	Progenitors	?
DSG2	Progenitors	Desmosomal cadherins
B4GALT6	Progenitors	Beta 4-glycosyltransferases
COL24A1	Progenitors	Collagens
CHRM3	Progenitors	Cholinergic receptors muscarinic
CHRFAM7A	Progenitors	?
MAGED4	Progenitors	MAGE family|Small nucleolar RNA protein coding host genes
AKR1C3	Progenitors	Aldo-keto reductases
FAM30A	Progenitors	Long non-coding RNAs with FAM root symbol
HBD	Progenitors	Hemoglobin subunits
DSC1	T CD8 Naive	Desmosomal cadherins
ZNF683	T CD8 TE	Zinc fingers C2H2-type
TRABD2A	T Naive	?
FAAH2	Tfh+Th	?
ZDHHC11B	Th2	Zinc fingers DHHC-type
FANK1	Tregs	Ankyrin repeat domain containing|Fibronectin type III domain containing
CD1E	mDCs	CD molecules|C1-set domain containing
CD1B	mDCs	CD molecules|C1-set domain containing
MRC1	mDCs	CD molecules|Scavenger receptors|C-type lectin domain containing|MicroRNA protein coding host genes
CLEC10A	mDCs	CD molecules|C-type lectin domain containing
IDO1	mDCs	?
CLIC2	mDCs	Chloride intracellular channels
SLC9C2	pDCs	Solute carriers
PROC	pDCs	Receptor ligands|Gla domain containing
CTSV	pDCs	Cathepsins
TPM2	pDCs	Tropomyosins
LILRA4	pDCs	CD molecules|Activating leukocyte immunoglobulin like receptors
SMIM6	pDCs	?
NLRP7	pDCs	NLR family|Pyrin domain containing
CCDC183	pDCs	?
KCNK17	pDCs	Potassium two pore domain channel subfamily K 
NOTCH4	pDCs	Notch receptors
GGTA1	pDCs	?
