Gene name	Human gene name
Csprs	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	SP100
	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
Gm16367	PRAMEF15
Gm16367	PRAMEF2
Gm16367	PRAMEF9
Gm16367	PRAMEF26
Gm16367	PRAMEF17
Gm16367	PRAMEF19
Gm16367	PRAMEF6
Gm16367	PRAMEF20
Gm16367	PRAMEF18
Gm16367	PRAMEF10
Gm16367	PRAMEF8
Gm16367	PRAMEF1
Gm16367	PRAMEF12
Gm16367	PRAMEF25
Gm16367	PRAMEF14
Gm16367	PRAMEF4
Gm16367	PRAMEF11
Gm16367	PRAMEF7
Gm16367	PRAMEF13
Gm16367	PRAMEF5
Gm16367	PRAMEF33
Gm16367	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
Gm20816	
Gm20817	SYCP3
Gm28490	SYCP3
Gm33815	
Gm21094	SYCP3
Gm28079	
Gm29644	
Gm21118	
Gm29423	
Gm20838	SYCP3
Gm20888	SYCP3
Gm20869	SYCP3
Gm20870	SYCP3
Gm20855	SYCP3
Gm20843	SYCP3
Gm20896	SYCP3
Gm20903	SYCP3
Gm20835	SYCP3
Gm29110	SYCP3
Gm20905	SYCP3
Gm21913	
Gm20738	
Gm20814	SYCP3
Gm20850	SYCP3
Gm20897	SYCP3
Gm21776	
Gm21173	SYCP3
Gm21865	SYCP3
Gm21882	
Gm21650	SYCP3
Gm20867	
Gm21797	
Gm29564	SYCP3
Gm20795	
Gm21800	
Gm20806	
Gm20917	
Gm29276	SYCP3
Gm20916	SYCP3
Gm21760	SYCP3
Gm21739	SYCP3
Gm28897	SYCP3
Gm20911	SYCP3
Gm21317	SYCP3
Gm28827	SYCP3
Gm21256	SYCP3
Gm20792	SYCP3
Gm21095	SYCP3
Gm21394	
Gm28553	SYCP3
Gm21409	SYCP3
Gm21209	SYCP3
Gm20854	
Gm28870	SYCP3
Gm20820	SYCP3
Gm20883	SYCP3
Gm21117	SYCP3
Gm21477	SYCP3
Gm20906	SYCP3
Gm20920	SYCP3
Gm28102	SYCP3
Gm21294	SYCP3
Gm21258	SYCP3
Gm21996	SYCP3
Gm20747	
Gm20837	SYCP3
Gm20929	SYCP3
Gm21748	
Gm20931	SYCP3
Gm21858	SYCP3
Sly	SYCP3
Gm21943	
Gm28961	SYCP3
Gm21861	SYCP3
Gm28891	SYCP3
1700040F15Rik	SYCP3
Gm21497	SYCP3
Gm21518	SYCP3
Gm20823	
Gm21627	SYCP3
Gm20908	SYCP3
Gm20924	
Gm20736	SYCP3
Gm20852	
Ssty2	
Gm20937	SYCP3
Gm31571	SYCP3
Gm21366	SYCP3
Gm20809	
Gm21921	
Gm21773	
Gm20890	SYCP3
Gm21488	SYCP3
Gm20894	SYCP3
Gm29582	SYCP3
Gm29289	RBMY1E
Gm29289	RBMY1J
Gm29289	RBMY1A1
Gm29289	RBMY1F
Gm29289	RBMY1D
Gm29289	RBMY1B
Gm21677	RBMY1E
Gm21677	RBMY1J
Gm21677	RBMY1A1
Gm21677	RBMY1F
Gm21677	RBMY1D
Gm21677	RBMY1B
Gm21693	RBMY1E
Gm21693	RBMY1J
Gm21693	RBMY1A1
Gm21693	RBMY1F
Gm21693	RBMY1D
Gm21693	RBMY1B
Gm21704	RBMY1E
Gm21704	RBMY1J
Gm21704	RBMY1A1
Gm21704	RBMY1F
Gm21704	RBMY1D
Gm21704	RBMY1B
Gm21708	RBMY1E
Gm21708	RBMY1J
Gm21708	RBMY1A1
Gm21708	RBMY1F
Gm21708	RBMY1D
Gm21708	RBMY1B
Gm3376	RBMY1E
Gm3376	RBMY1J
Gm3376	RBMY1A1
Gm3376	RBMY1F
Gm3376	RBMY1D
Gm3376	RBMY1B
Gm20918	
Gm21820	
Gm21854	
Gm20914	
Gm28171	
Gm21778	
Gm20873	
Gm28919	SYCP3
Gm21719	
Gm20830	
Gm21244	
Gm28998	SYCP3
Gm20826	
Gm28576	SYCP3
Gm29049	
Gm20825	
Gm20824	SYCP3
Gm20815	
Gm21292	
Gm21721	
Gm21812	
Gm21874	
Gm20821	
Gm21310	
Gm20834	
Gm28510	SYCP3
Gm20737	
Gm20777	
Gm20828	
Gm29554	SYCP3
Gm20812	
Gm20807	
Gm21891	
Gm21425	
Gm21828	
Gm21440	
Gm21454	
Gm21725	
Gm21866	
Gm20773	
Gm21767	
Gm30737	SYCP3
Gm20822	
Gm20877	
Rbm31y	
Gm21904	
Gm20772	
Gm20831	
Srsy	
Gm21764	
Ssty1	
Gm21822	
Gm35134	SYCP3
Gm29866	SYCP3
Gm20909	
Gm20865	
Zfy1	ZNF418
Zfy1	ZNF773
Zfy1	ZNF419
Zfy1	
Zfy1	
Zfy1	ZNF548
Zfy1	
Zfy1	ZNF792
Zfy1	ZNF584
Zfy1	ZNF154
Zfy1	ZNF256
Zfy1	ZNF134
Zfy1	ZNF772
Zfy1	ZNF304
Zfy1	ZNF793
Zfy1	ZNF586
Zfy1	ZNF561
Zfy1	ZNF562
Zfy1	ZNF587B
Zfy1	ZNF552
Zfy1	ZNF837
Zfy1	ZNF480
Zfy1	ZNF610
Zfy1	ZNF549
Uba1y	
Kdm5d	KDM5D
Eif2s3y	EIF2S3B
Eif2s3y	EIF2S3
Uty	UTY
Ddx3y	DDX3Y
Usp9y	USP9Y
Zfy2	ZNF418
Zfy2	ZNF773
Zfy2	ZNF419
Zfy2	
Zfy2	
Zfy2	ZNF548
Zfy2	
Zfy2	ZNF792
Zfy2	ZNF584
Zfy2	ZNF154
Zfy2	ZNF256
Zfy2	ZNF134
Zfy2	ZNF772
Zfy2	ZNF304
Zfy2	ZNF793
Zfy2	ZNF586
Zfy2	ZNF561
Zfy2	ZNF562
Zfy2	ZNF587B
Zfy2	ZNF552
Zfy2	ZNF837
Zfy2	ZNF480
Zfy2	ZNF610
Zfy2	ZNF549
H2al2c	H2AL1RP
Sry	SRY
H2al2b	H2AL1RP
Gm4064	RBMY1E
Gm4064	RBMY1J
Gm4064	RBMY1A1
Gm4064	RBMY1F
Gm4064	RBMY1D
Gm4064	RBMY1B
Rbmy	RBMY1E
Rbmy	RBMY1J
Rbmy	RBMY1A1
Rbmy	RBMY1F
Rbmy	RBMY1D
Rbmy	RBMY1B
Gm10256	RBMY1E
Gm10256	RBMY1J
Gm10256	RBMY1A1
Gm10256	RBMY1F
Gm10256	RBMY1D
Gm10256	RBMY1B
Gm10352	RBMY1E
Gm10352	RBMY1J
Gm10352	RBMY1A1
Gm10352	RBMY1F
Gm10352	RBMY1D
Gm10352	RBMY1B
Chst9	CHST9
Cdh2	CDH2
Cep120	CEP120
Lratd1	LRATD1
Vsx2	VSX2
Csnk1g3	CSNK1G3
Trib2	TRIB2
Dsc3	
Heatr5a	HEATR5A
Zfp608	ZNF608
Gramd3	GRAMD2B
Abcd4	ABCD4
Dsc2	
Dtd2	DTD2
Gpr33	GPR33
Vrtn	VRTN
Syndig1l	SYNDIG1L
Dsc1	
Nubpl	NUBPL
Npc2	NPC2
Dsg1c	
Isca2	ISCA2
1700029F12Rik	
Krtap20-2	
Krtap21-1	
Krtap6-2	
Dsg1a	
Arhgap5	ARHGAP5
Ifitm7	
Ifitm7	IFITM1
Krtap8-1	KRTAP8-1
Krtap7-1	KRTAP7-1
Krtap11-1	KRTAP11-1
Bmerb1	BMERB1
Cntnap3	CNTNAP3
Cntnap3	CNTNAP3C
Cntnap3	CNTNAP3B
Dsg1b	
Dio3	DIO3
Rabl3	RABL3
Akap6	AKAP6
Aldh7a1	ALDH7A1
Ofcc1	
Hgd	HGD
Npas3	NPAS3
Fam169a	FAM169A
Ndufb4	NDUFB4
Marf1	MARF1
Egln3	EGLN3
Spata31	
Gm6169	PLP2
Spata31d1c	SPATA31D1
Spata31d1c	SPATA31D3
Spata31d1c	SPATA31D4
Sptssa	SPTSSA
Nsa2	NSA2
Fstl1	FSTL1
Ltbp2	LTBP2
Prss47	
Stard3nl	STARD3NL
Dsg4	
Gm36028	BTN3A1
Lrrc58	LRRC58
Gpr156	GPR156
Phax	PHAX
Gsk3b	GSK3B
Tex43	TEX43
Mfsd14b	MFSD14B
Lmnb1	LMNB1
Nr1i2	NR1I2
Marchf3	MARCHF3
Olfr465-ps1	OR14I1
Olfr466	OR9H1P
Epdr1	EPDR1
Dsg3	
Nde1	NDE1
Tfap2a	TFAP2A
Eapp	EAPP
Klf9	KLF9
Rbm14	RBM14
Habp2	HABP2
C330018D20Rik	C5orf63
Ppp2r5c	PPP2R5C
Dsg2	
Sfrp4	SFRP4
Tiam1	TIAM1
Nlrp4f	NLRP4
Ttr	URAD
B4galt6	
Ccs	CCS
Megf10	MEGF10
Gm10775	
Gcnt2	GCNT2
Ccdc87	CCDC87
Ctsf	CTSF
Zfp369	ZNF274
Prrc1	PRRC1
Cfap91	CFAP91
Cfap91	
Snx6	SNX6
Actn3	ACTN3
Ctxn3	CTXN3
Nme8	NME8
Trappc8	
Cox17	COX17
Gm21987	COX17
Smc5	SMC5
Sod1	SOD1
Popdc2	POPDC2
Arel1	AREL1
Pla1a	PLA1A
Pak1ip1	PAK1IP1
Adprh	ADPRH
Cd80	CD80
Ccdc192	CCDC192
Rnf125	RNF125
Timmdc1	TIMMDC1
Gpr141b	
Gm10139	
Tmem14c	TMEM14C
Poglut1	POGLUT1
Gpr141	GPR141
Slc12a2	SLC12A2
Dync1h1	DYNC1H1
Scaf4	SCAF4
Elmo1	ELMO1
Zdhhc24	ZDHHC24
Rnf138	RNF138
Mamdc2	MAMDC2
Mep1b	MEP1B
1700028P14Rik	C9orf135
Cfl2	CFL2
Ptar1	PTAR1
1700001K19Rik	
Garem1	GAREM1
Aoah	AOAH
Bbs1	BBS1
Bbs1	
Hunk	HUNK
Fcf1	
Fbn2	FBN2
Mis18a	MIS18A
Baz1a	BAZ1A
Mrap	MRAP
Olfr1370	
Uqcrb	UQCRB
Apba1	APBA1
Tmem39a	TMEM39A
Gm10767	RAMAC
Gm10767	RAMACL
Olfr1369-ps1	OR2W1
Olfr263	OR2W1
Olfr1368	
Mak	MAK
Fam189a2	FAM189A2
Klhl14	KLHL14
Gm20403	
Hsp90aa1	
Dpp3	DPP3
Slc27a6	SLC27A6
Isoc1	ISOC1
Urb1	URB1
Adamts19	ADAMTS19
2700097O09Rik	
Ccdc178	CCDC178
Trim27	TRIM27
Lpin1	LPIN1
Tjp2	TJP2
Tjp2	
Myh11	MYH11
Gfm2	GFM2
Minar2	MINAR2
Chsy3	CHSY3
Gm4951	
Peli3	PELI3
Gm4841	
F830016B08Rik	
Asxl3	ASXL3
Fxn	FXN
Mrpl11	MRPL11
Iigp1	
Smim3	SMIM3
Dctn4	DCTN4
Npas4	NPAS4
Pip5k1b	PIP5K1B
Nol4	NOL4
Arhgap31	ARHGAP31
Fam122a	PABIR1
Tmem252	TMEM252
Pgm5	PGM5
Gcm2	GCM2
Cep20	CEP20
Mterf3	MTERF3
Gm10053	CYCS
Foxd4	FOXD4L5
Foxd4	FOXD4L3
Foxd4	FOXD4
Foxd4	FOXD4L6
Foxd4	FOXD4L4
Foxd4	FOXD4L1
B4galt4	B4GALT4
Rbm22	RBM22
Nrap	NRAP
Wdr20	WDR20
Ntsr2	NTSR2
Myoz3	MYOZ3
Gpx5	
Synpo	SYNPO
Eva1c	EVA1C
Gpx6	GPX6
Ylpm1	YLPM1
Olfr1367	
Sycp2l	SYCP2L
Ndst1	NDST1
Hexb	HEXB
Rps14	RPS14
Upk1b	UPK1B
Zscan12	ZSCAN12
Tex55	
Enc1	ENC1
Mok	MOK
Cfap298	CFAP298-TCP10L
Cfap298	CFAP298
Ptdss1	PTDSS1
Dtna	DTNA
Srp54a	SRP54
Igsf11	IGSF11
Elovl2	ELOVL2
Lsamp	LSAMP
Fam177a	FAM177A1
Prox2	PROX2
Zfp712	ZNF845
Smim13	SMIM13
Zfp839	ZNF839
Rps18-ps6	RPS18
Gm17364	
Abcc1	ABCC1
Zfp708	
Smug1	
Srp54b	SRP54
Zkscan3	ZKSCAN4
Ccdc134	CCDC134
Cd74	CD74
Fam177a2	FAM177A1
Gm28557	
Mroh2b	MROH2B
Slc29a2	SLC29A2
Rslcan18	
Cinp	CINP
Nedd9	NEDD9
Mapre2	MAPRE2
Pgbd1	PGBD1
Gap43	GAP43
Dlst	DLST
Cbx5	
A630010A05Rik	
B4gat1	B4GAT1
Cbwd1	CBWD6
Cbwd1	CBWD3
Cbwd1	CBWD5
Zfp759	ZNF845
Snai2	SNAI2
C7	C7
Efcab1	EFCAB1
Card6	CARD6
Zscan26	ZSCAN26
Rpl37	RPL37
Tmem170b	TMEM170B
Gm50388	B4GAT1
Zfp397	ZNF397
Nkapl	NKAPL
Casp7	CASP7
Prkaa1	PRKAA1
Rsl1	
Gm21897	
Zfp35	
Zfp24	ZNF24
Brms1	BRMS1
Srp54c	SRP54
Zkscan4	ZKSCAN4
Synj1	SYNJ1
Ino80c	INO80C
AK157302	ISCA1
Srebf2	SREBF2
Zfp455	
Cox5b-ps	COX5B
Zfp458	ZNF845
Dock8	DOCK8
Greb1	GREB1
Tcof1	TCOF1
Zfp457	ZNF678
Zfp457	ZNF736
Zfp457	ZNF695
Zfp457	ZNF682
Zfp457	ZNF738
Zfp457	ZNF727
Zfp457	ZNF85
Zkscan8	ZKSCAN8
Olfr1366	
Zfp595	ZNF678
Zfp595	ZNF736
Zfp595	ZNF695
Zfp595	ZNF682
Zfp595	ZNF738
Zfp595	ZNF727
Zfp595	ZNF85
Mtbp	MTBP
Olfr1535	
Gm28044	ZNF257
Gm28044	ZNF680
Gm28044	ZNF723
Gm28044	ZNF92
Gm28044	ZNF273
Olfr1364	
Rin1	RIN1
Adtrp	ADTRP
Ube2v2	UBE2V2
Gpr50	
Cd248	CD248
Tmem151a	TMEM151A
Ppp2r3c	PPP2R3C
Mcm4	MCM4
Olfr1362	
Kank1	KANK1
Slc16a2	SLC16A2
Zfp953	ZNF678
Zfp953	ZNF736
Zfp953	ZNF695
Zfp953	ZNF682
Zfp953	ZNF738
Zfp953	ZNF727
Zfp953	ZNF85
Olfr11	OR2B6
Rps6kl1	RPS6KL1
Gm28041	ZNF257
Gm28041	ZNF680
Gm28041	ZNF723
Gm28041	ZNF92
Gm28041	ZNF273
Olfr1361	
Gm10488	SYCP3
Plekhs1	PLEKHS1
Olfr1360	
Olfr1359	
Arsi	ARSI
H2bc13	
Galnt1	GALNT1
Paxbp1	PAXBP1
Zfp456	
Vma21	
E2f6	E2F6
H2ac13	H2AC8
H3c10	
Hivep1	HIVEP1
Gm14632	SYCP3
Pgf	PGF
Shisa8	SHISA8
H2bc14	H2BC5
H4c11	
Sntb1	SNTB1
Edn1	EDN1
Tecpr2	TECPR2
H4c12	H4C5
H2ac15	H2AC8
Dmrt1	DMRT1
Zfp429	
Htr2c	HTR2C
Ttc33	TTC33
2700062C07Rik	C18orf21
Dmrt3	DMRT3
Dclre1a	DCLRE1A
H2bc15	
H1f5	H1-5
4932438H23Rik	C21orf62
H3c11	H3C8
H2ac22	
Rprd1a	RPRD1A
Zfp459	ZNF845
Rlim	RLIM
Olig2	OLIG2
Tnfrsf13c	TNFRSF13C
Olig1	OLIG1
Slc39a6	SLC39A6
H2bc22	
H2bc23	
Dmrt2	DMRT2
H2ac23	
Has2	HAS2
Zbtb20	ZBTB20
H4c17	
Eif2b2	EIF2B2
H4c18	
Gm1141	
Yif1a	YIF1A
H2ac24	
Hnrnpa1	
H2bc24	
Camk2a	CAMK2A
Zfp874a	
Gm10487	SYCP3
Prorp	PRORP
Prorp	
Btbd35f29	
Prrg3	
Nhlrc2	NHLRC2
Spin2f	
Arhgef28	ARHGEF28
Nexmif	NEXMIF
Adrb1	ADRB1
Cnih2	CNIH2
Btbd35f26	
Ptger4	PTGER4
Btbd35f19	
Spin2e	
Fate1	
Ccdc186	CCDC186
Btbd35f25	
Gm21637	
Btbd35f22	
Ankrd9	ANKRD9
Il13ra2	IL13RA2
Slc22a22	
Rab1b	RAB1B
Psma6	PSMA6
Slc6a7	SLC6A7
Cnga2	
Tigit	TIGIT
Nfe2	
Rcor1	RCOR1
Prkdc	PRKDC
Cdx1	CDX1
Klc2	KLC2
Btbd35f2	
Magea4	
Btbd35f1	
Elp2	ELP2
Vmn1r239-ps	VN1R5
Abcb7	ABCB7
4930595D18Rik	
Mlh3	MLH3
Cenpm	CENPM
Gm5926	
Btbd35f21	
Uprt	UPRT
Pacs1	PACS1
Gabre	
Zhx2	ZHX2
Zfp184	
Btbd35f5	
Nfkbia	NFKBIA
Btbd35f12	
1500009C09Rik	
Magea10	
Derl1	DERL1
Aldoart2	ALDOA
Insm2	INSM2
Zfp874b	
Acyp1	
Btbd35f15	
Mocos	MOCOS
Zdhhc15	ZDHHC15
Copz1	
Pom121l2	POM121L2
Rock2	ROCK2
Prss16	PRSS16
Pdgfrb	PDGFRB
Btbd35f13	
Zfp58	
Btbd35f14	
Gpr84	
Magee2	MAGEE2
Btbd35f6	
Zfp385a	
Sf3b2	SF3B2
Btbd35f9	
Spin2g	
Btbd35f8	
Gm26965	ZNF257
Gm26965	ZNF680
Gm26965	ZNF723
Gm26965	ZNF92
Gm26965	ZNF273
Agrp	AGRP
Drd3	DRD3
Gabra3	
H2ac12	
Tbc1d31	TBC1D31
Utp15	UTP15
Ripor1	RIPOR1
Mzt2	MZT2A
Mzt2	MZT2B
Cebpd	CEBPD
Gm10486	SYCP3
Qtrt2	QTRT2
Csf1r	CSF1R
H2bc12	
Gal3st3	GAL3ST3
H4c9	
H2ac11	
H2bc11	
