Gene name	Mouse gene name
SERF1B	
GOLGA6L10	
TCF20	
SMDT1	
	Frg1
KIR2DS4	
NAIP	
KIR2DL4	
	
KIR3DS1	
DRD4	
DEAF1	
TTC34	
MCCC2	
MMEL1	
IRF7	
KIR2DL1	
SMDT1	
OR2W1	
BDP1	
OR14J1	
TRIM27	
NDUFA6	
OR8U9	
OR8U8	
KIR2DP1	
MUC20	
OR5T3	
OR5T2	
ABR	
KIR2DL2	
LILRA4	
OR8H1	
OR5T1	
KIR2DL5A	
KIR3DL3	
OR8K1	
HRAS	
OR8J1	
CLK2	
KIR3DL2	
MUC4	
LAIR1	
KIR3DL2	
KIR3DL3	
ZNF311	
PANK4	
	
FAM120B	
KIR2DL1	
	
RASSF7	
OR2B3	
LST1	
PKLR	
SMN1	
KIR3DL1	
CDHR5	
TARM1	
MBOAT7	
CNOT3	
KIR2DL3	
LILRB2	
PLCH2	
SCAMP3	
KIR2DS1	
DLL1	
AADACL2	
SERF1A	
RDH13	
TSEN34	
GBA	
GP6	
HES5	
KIR3DL2	
PRXL2B	
	
OR2J3	
KIR2DL4	
MICB	
SCT	
PTDSS2	
KIR3DL3	
KIR2DS2	
TMC4	
KCNIP4	
SLC5A8	
TIMM22	
TRIM10	
LENG1	
NXN	
VSTM1	
KIR2DL3	
ANO4	
KIR3DL3	
RNF39	
KIR3DX1	
HCN3	
CNOT3	
LILRA5	
MUC21	
UGT2A3	
TNF	
RPS9	
OR11A1	
FAM189B	
	
MOG	
RPS9	
LILRB1	
UGT2B10	
LENG1	
KIR3DL3	
NLRP7	
OSCAR	
NCR1	
UGT2B15	
TARM1	
VSTM1	
TMPRSS11E	
LILRA4	
VSTM1	
LAIR2	
NLRP7	
ZNF729	
ZNF676	
YTHDC1	
LAIR1	
LILRB4	
TFPT	
MUC20	
	
NLRP2	
DEFB104B	
DEFB105B	
PRR23D1	
GP6	
GP6	
DEFB4B	
NDUFA3	
DEFB103B	
KIR2DL1	
NLRP2	
LILRA3	
ZNF705G	
	
LILRA6	
MBOAT7	
DEFB107B	
SPAG11B	
NDUFA3	
OSCAR	
NLRP7	
RPS9	
DEFB106B	
RDH13	
MUC20	
MBOAT7	
NLRP7	
NLRP2	
KIR3DS1	
TMC4	
PRAMEF5	
MBOAT7	
RPS9	
TSEN34	
PRAMEF18	
LILRA2	
ZFP57	
OR2J2	
PRAMEF8	
MSH5-SAPCD1	
TFPT	
DENND11	
MYOM2	
TFPT	
HNRNPCL2	
	
PRAMEF25	
CNOT3	
HLA-G	
HNRNPCL4	
PRAMEF33	
KIR2DS3	
PRAMEF9	
FCAR	
TSEN34	
NDUFA3	
SSBP1	
BTG3	
TARM1	
	
	
VSTM1	
LILRA6	
LILRB2	
DHX16	
RDH13	
OSCAR	
KIR2DS1	
KIR3DL2	
C22orf15	
RPS9	
HSPA1B	
SLC39A11	
LILRA2	
GABBR1	
SMARCB1	
LENG1	
CEACAM4	
AGK	
NLRP2	
TMC4	
TMEM179	
HLA-DRA	
CEACAM21	
OR11A1	
C14orf180	
WEE2	
BTNL2	
NDUFA3	
OR2B3	
CNOT3	
KBTBD11	
HLA-G	
KIR2DS4	
KIR3DL2	
MUC20	
FAM189A1	
ARHGEF10	
KIR2DL5A	
CNOT3	
FAM20C	
CEACAM7	
APBA2	
MUC4	
LENG1	
NEU1	
NDUFA3	
MIF	
TRIM69	
	
VSTM1	
	
DERL3	
LILRB1	
TMC4	
LILRB3	
ATP23	
TRIM10	
RDH13	
TFPT	
FAM20C	
TSEN34	
SLC2A11	
ZNF311	
TBX22	
RPS9	
OSCAR	
HERC2	
POMZP3	
LINC01556	
PSORS1C1	
SERPINF1	
HLA-B	
B2M	
MBOAT7	
APOM	
SCARF1	
OR2J3	
MICA	
NLRP7	
KIR3DX1	
GOLGA8G	
UPK3B	
TSEN34	
C4B_2	
GP6	
SPDYE16	
OSCAR	
PPP1R10	
	Mrpl23
DTX2	
CTSO	
LILRB2	
TFPT	
OCA2	
ASIC5	
NDUFA3	
TDO2	
RDH13	
TLCD2	
GP6	
MBOAT7	
WDR81	
ZFP57	
NLRP2	
PTP4A3	
MAMDC2	
TFPT	
	
	
GPR20	
MAS1L	
IQSEC3	
OR2H2	
ATAT1	
NSMCE3	
LILRB5	
TARM1	
CES5A	
	
CNOT3	
LY6G5C	
TRPV5	
	
SLC43A2	
STK19	
CHRFAM7A	
HSPA1A	
LENG1	
HSPA1L	
LILRA3	
TARM1	
GPSM3	
RPS9	
ARHGAP11B	
ARHGAP11A	
RPH3AL	
LILRA5	
TMC4	
OR2W1	
LSM2	
HLA-DOB	
LLCFC1	
LILRB2	
ZBED9	
RPP21	
OR12D2	
LILRB5	
OR5V1	
TRPV6	
ZFP57	
KIR3DX1	
LILRA5	
PRRT1	
OR2H2	
KIR2DL2	
HLA-DRB3	
OR12D3	
LILRA6	
GNL1	
TRPM1	
NLRP7	
LY6G6E	
RILP	
MRPS18B	
LILRB1	
SPPL2C	
DLGAP2	
LST1	
KIR2DS4	
PRSS2	
RPP21	
WNT3	
CES1	
MRPS18B	
PRSS1	
AZU1	
DDT	
LRRC37A2	
ARHGAP27	
PRTN3	
PRPF8	
KIR3DL2	
	
GSTT1	
OR6V1	
NCR3	
NRM	
MGAM2	
PLPPR3	
PSORS1C2	
KIR3DL3	
MED16	
KIR2DL2	
FCAR	
TRIM39	
	
MAPT	
GSTT2	
MRPS18B	
AGPAT1	
LENG8	
PRPF31	
OR9A2	
ELANE	
EPHB6	
CHCHD10	
PRH2	
OR2J3	
OR5V1	
CFD	
GSTT4	
OR14J1	
ABHD16A	
TAS2R30	
DDTL	
TAS2R19	
NAIP	
TAS2R8	
TAS2R7	
MMP11	
TAS2R50	
TAS2R43	
OR12D3	
OR11A1	
TAS2R14	
OR2J2	
TAS2R9	
OR2B3	
LY6G6F	
MICB	
TAS2R31	
TAS2R13	
TAS2R46	
TTYH1	
TAS2R20	
PRR4	
PSORS1C1	
PSMB9	
DDAH2	
OR2W1	
PTPRN2	
PPP1R11	
TJP1	
	
	
GSTT2B	
GSDMD	
WNT9B	
LILRB4	
TCF19	
SALL3	
NCF4	
TAS2R10	
NSF	
ATAT1	
OR14J1	
SERPINF2	
ATP9B	
LTB	
BTNL2	
KIR2DL1	
PVALB	
ATP6V1G3	
SAPCD1	
BDH1	
MTRNR2L6	
OR2B3	
LINC01556	
PPP1R11	
TCF19	
NDUFA3	
PSMB9	
PTPRC	
CNOT3	
MGAM	
SCGB1C2	
LSM2	
PLEKHM1	
GP6	
PSORS1C1	
TAF9	
TTYH1	
RPH3AL	
NEU1	
OR12D2	
GABBR1	
TAP1	
LENG1	
HLA-DRB4	
C2	
TFPT	
PRSS58	
ZC3H3	
KRT31	
RAD17	
	
PYCR3	
PPP1R11	
CRHR1	
KRT33A	
KIR2DL3	
GOLGA8J	
PLEKHM1	
POLR1H	
C2	
OR10A3	
OR5P2	
KRT37	
OR5P3	
GREM1	
NLRP10	
NLRP2	
	
KRTAP16-1	
KRT34	
RDH13	
KRTAP17-1	
NLRP7	
KRT33B	
EGFL8	
TNXB	
FAN1	
KEL	
TRIM15	
	
EEF1D	
ARHGAP27	
DOC2B	
KIF5C	
	
SCG5	
LENG9	
TSEN34	
MTMR10	
TAMM41	
RPP21	
KLF13	
	
LY6G6E	
NLRP2	
MICB	
VWA7	
LILRB5	
TMC4	
	
OR2H1	
LENG1	
CEP72	
TSEN34	
HSPA1L	
SLC9A3	
GNL1	
PRRT1	
TMC4	
MBOAT7	
DDR1	
MCCD1	
RPS9	
FLOT1	
HLA-DRB4	
OR10C1	
HLA-DQB2	
TARM1	
GP6	
C6orf15	
ZNF280B	
OR2J3	
APOM	
LTA	
PPP1R18	
KANSL1	
KIR3DL3	
MDC1	
	
PHLDA2	
ZNF280A	
OR4M2B	
OSCAR	
LILRA3	
CARS1	
LY6G6F-LY6G6D	
LENG8	
POTEB3	
B3GALT4	
PRAME	
NEU1	
POLR1H	
SNHG32	
HSPA1L	
TRIM27	
CDC42EP5	
KIR3DL1	
MUC20	
VSTM1	
MBOAT7	
CNOT3	
APOL5	
OR11A1	
RBFOX2	
PPT2	
SAPCD1	
OR2J3	
LRRC37A	
HLA-A	
TAP1	
NCR3	
LENG1	
ARL17B	
EGFL8	
LAIR1	
HLA-DMB	
KIR2DL1	
LRRC37A3	
RNF39	
MSH5	
LILRA1	
LILRA6	
TRIM39	
UBD	
LTB	
PFDN6	
APBA1	
MAPT	
OR10C1	
HLA-DQB2	
	
BTNL2	
MSH5-SAPCD1	
HLA-DMA	
TARM1	
VARS1	
SPPL2C	
VSTM1	
CCL4L2	
ARL17B	
TRIM39	
CDK7	
PPP2R3B	
NXN	
LTB	
TRIM27	
YWHAE	
TNXB	
MUC20	
VARS1	
TBC1D3I	
BAG6	
ABR	
NSF	
MUC4	
ARMC10	
CUTA	
OSCAR	
RXRB	
RNF5	
TFPT	
CCL3L3	
CDC42EP5	
NAPEPLD	
STH	
	
EHMT2	
LSM2	
TAF4	
LAIR2	
RNF39	
NCR1	
LINC02210-CRHR1	
	Ighv3-1
	Ighv3-3
	Ighv3-6
	Ighv3-4
	Ighv12-3
	Ighv3-8
	Ighv3-5
RING1	
	
CCL18	
HLA-E	
KCNQ1	
TC2N	
CDH4	
CCL4L2	
RDH13	
NAP1L4	
TUBB	
OR2H1	
GTF2H2	
NLRP2	
CLIC1	
TRIM31	
HSPA1A	
RDH13	
EGFL8	
LINC01556	
GP6	
OR2J3	
HLA-A	
MUC2	
LY6G6C	
TBC1D3B	
RPP21	
	
	
FCAR	
TRIM10	
KANSL1	
TUBB	
NDUFA3	
CATSPERB	
NLRP7	
AP2A2	
SAPCD1	
KIR2DL3	
ATP9B	
LINC01556	
SALL3	
NPIPA5	
OR2J2	
CCL3	
LILRA1	
NOMO1	
DHX16	
TSBP1	
CCL3L3	
BAAT	
MAPK15	
CEP170	
PLPPR1	
MDC1	
CCL4	
TSBP1	
LRRC37A2	
WNT3	
HLA-DMB	
NLRP7	
FAM83H	
PPP2R3B	
TIMM22	
TRIM40	
GFUS	
TRIM15	
GNL1	
TSEN34	
ZNF251	
GTF2H4	
DLGAP2	
PSMB8	
TAS2R20	
LAIR2	
TAS2R30	
PRB1	
CLN8	
LILRB3	
BRD2	
CDKN1C	
TAS2R50	
TAS2R19	
PRB3	
CCL23	
	
SLC22A18	
TAS2R42	
TAS2R9	
	Slc6a8
MCCC2	
PRH2	
LENG9	
GPI	
PUF60	
NLRP2	
DDAH2	
AKT3	
TAS2R7	
TBC1D3G	
	Ighv1-59
	Ighv1-18
	Ighv1-5
	Ighv1-23
	Ighv1-78
	Ighv1-4
	Ighv1-19
	Ighv1-74
	Ighv1-36
	Ighv15-2
	Ighv1-85
	Ighv1-22
	Ighv1-75
	Ighv1-67
	Ighv1-9
	Ighv14-1
	Ighv1-7
	Ighv14-2
	Ighv1-69
	Ighv1-55
	Ighv1-50
	Ighv1-15
	Ighv1-53
	Ighv1-11
	Ighv1-24
	Ighv1-82
	Ighv1-84
	Ighv1-56
	Ighv1-64
	Ighv1-62-1
	Ighv1-62-3
	Ighv1-62-2
	Ighv1-61
	Ighv1-54
	Ighv1-31
	Ighv14-3
	Ighv1-26
	Ighv1-66
	Ighv1-77
	Ighv1-43
	Ighv1-76
	Ighv1-80
	Ighv1-81
	Ighv1-37
	Ighv1-42
	Ighv1-52
	Ighv14-4
	Ighv1-58
	Ighv1-20
	Ighv1-71
	Ighv1-34
	Ighv1-39
	Ighv1-47
	Ighv1-16
	Ighv1-63
	Ighv1-49
	Ighv1-12
	Ighv1-72
PRR4	
	Ighv7-4
	Ighv7-2
	Ighv7-1
	Ighv7-3
	
BRD2	
	
RRN3	
MSH5	
GTF2H2C_2	
PTPRK	
TAS2R31	
TAS2R8	
TAS2R13	
PRB4	
TAS2R43	
PRH1	
CCL16	
PSORS1C2	
	
TAS2R10	
VARS1	
TAS2R14	
TAS2R46	
KIR3DL3	
DDX52	
VSTM1	
SDCCAG8	
LY6L	
LY6H	
HLA-F	
GARRE1	
LILRB4	
GLIS2	
TRIM40	
VASN	
CORO7-PAM16	
LST1	
IER3	
FKBPL	
MDC1	
GNL1	
RPS18	
MARCHF8	
PARN	
TBC1D3K	
OR14J1	
LY6E	
AIF1	
OR12D2	
OR13A1	
OR12D3	
ALOX5	
TNF	
RPS18	
ERMARD	
NMRAL1	
PPP1R11	
LAIR1	
TRIM26	
KIR3DL2	
HLA-DPB1	
TRIM40	
LYZL6	
MARVELD2	
TRIM39	
OR5V1	
OR2B3	
LY6G5C	
UBD	
HLA-DOA	
MRPL45	
GRK1	
OR2W1	
ZNF311	
TMEM255B	
CLIC1	
LY6G6F	
HMOX2	
HLA-DRB1	
TBC1D3L	
AGER	
HLA-DRA	
OR2J2	
TNXB	
BDP1	
TMC4	
ABHD16A	
PPT2	
GNL1	
ACACA	
HLA-DMA	
NAPRT	
PLA2G10	
HSPA1A	
TNXB	
	
POLR1H	
LY6G6E	
KIR2DL4	
CFB	
DYNLT2	
ABCF1	
CCDC166	
ZNF707	
OCLN	
OR11A1	
DDAH2	
ADAM2	
MBOAT7	
DDAH2	
CEP20	
TRIM31	
SERF1B	
FRG2	
EHMT2	
LILRB4	
FRG1	
CCDC125	
NFKBIL1	
GAL3ST2	
NEU4	
PDXDC1	
TCF19	
PAM16	
KIR3DL1	
MOG	
TRIM15	
ABCF1	
HSPA1B	
PRRT1	
LTA	
AK6	
CSNK2B	
AIF1	
DNAJA3	
MPIG6B	
TIGD5	
ZNF623	
MROH6	
SMN2	
RTP5	
PDCD1	
SCRIB	
GABBR1	
ADAM9	
GABBR1	
TSEN34	
MRPS36	
CDIP1	
CNOT3	
ADAM32	
SLC39A7	
	
KIR2DS4	
MPIG6B	
RPS9	
THEMIS	
MICB	
PRR3	
SLC44A4	
CORO7	
LILRB3	
HLA-G	
HLA-A	
HLA-DMA	
TNF	
PBX2	
KIR2DL3	
LENG9	
LILRA2	
TRIM26	
DHX16	
ADAM18	
COL11A2	
AGER	
SPACA7	
ABCC6	
TUBGCP3	
HLA-DOA	
LY6G5B	
HLA-DRB1	
HLA-DPA1	
CCHCR1	
TTYH1	
	
SERPINA1	
BAG6	
TARM1	
OR2T4	
OR2T2	
VSTM1	
OR2T1	
OR2T6	
OR2T7	
RPP21	
OR2T3	
OR2T5	
MPV17L	
C6orf136	
EHMT2	
OSCAR	
NTAN1	
AGPAT1	
PRIMA1	
MRPS18B	
NDUFA3	
IFI27	
RXRB	
OSCAR	
LY6G6C	
MYO19	
UBD	
RDH13	
ZNF311	
NPIPA3	
PPP4R4	
TFPT	
FLOT1	
	
LENG8	
MOG	
BMERB1	
VPS52	
GP6	
	
MOAP1	
TMEM251	
BFAR	
SERPINA6	
TSPY4	
KIR2DL4	
POLR1H	
BTBD7	
	
PRY	
LPCAT1	
LY6G5B	
NDE1	
KIFC1	
KIR2DL1	
LILRA3	
IFI27L1	
VCY1B	
CLPTM1L	
TAPBP	
USP9Y	Usp9y
NCR1	
PRR3	
PPT2	
MARF1	
UNC79	
HLA-DPB1	
PCGF2	
TNXB	
CDC42EP5	
NOTCH4	
ZBTB12	
LILRA1	
TAP2	
BAG6	
BRD2	
PRY2	
SLC6A3	
MLLT6	
LILRB5	
HLA-DPA1	
ABCC1	
VARS1	
EIF1AY	
AIF1	
SFTA2	
ZNHIT3	
HLA-DPA1	
ATF6B	
TARM1	
BPY2	
LILRB1	
SERPINA10	
HLA-A	
UBR7	
SKIV2L	
TADA2A	
PPP1R10	
HLA-F	
HLA-DMB	
TUBB	
SERPINA2	
ASB2	
TBL1Y	Tbl1x
TRIM40	
ZFP57	
HLA-A	
NPIPA1	
TAP2	
MCCD1	
TRIM27	
OR2H2	
C6orf15	
RGL2	
ITPK1	
AGER	
NOMO3	
HLA-DOB	
MRM1	
GGNBP2	
RBMY1E	Gm21708
RBMY1E	Gm21704
RBMY1E	Rbmy
RBMY1E	Gm3376
RBMY1E	Gm10352
RBMY1E	Gm21693
RBMY1E	Gm29289
RBMY1E	Gm4064
RBMY1E	Gm21677
RBMY1E	Gm10256
BAG6	
COL11A2	
CCL15	
PIP4K2B	
OTUB2	
AATF	
FAM181A	
TSPY9P	
PPP1R18	
COX8C	
LILRA5	
IFI27L2	
DAZ2	Dazl
PRRT1	
CHGA	
TBC1D3H	
TRIM39	
TMC4	
HLA-DQA1	
CCL4	
DDX24	
TRIM26	
C17orf98	
BTNL2	
SOCS7	
SFTA2	
LENG1	
HLA-C	
NELFE	
LILRA4	
EPOP	
RDM1	
KIR3DL2	
MDC1	
HLA-B	
GON7	
SNHG32	
MYH11	
HLA-DPA1	
TRIM31	
HLA-F	
ATAT1	
HLA-DQA2	
TSPY10	
VWA7	
HEATR9	
HLA-DQA1	
FKBPL	
MAS1L	
TCF19	
SLC16A1	
LY6G6C	
PBX2	
OR2J3	
MAS1L	
PRYP3	
TNF	
PRR3	
HLA-DMB	
LY6G5B	
RBMY1A1	Gm21708
RBMY1A1	Gm21704
RBMY1A1	Rbmy
RBMY1A1	Gm3376
RBMY1A1	Gm10352
RBMY1A1	Gm21693
RBMY1A1	Gm29289
RBMY1A1	Gm4064
RBMY1A1	Gm21677
RBMY1A1	Gm10256
ZNF311	
MUC21	
TRIM40	
DDAH2	
UBD	
PSMB9	
RNF39	
GPANK1	
CFB	
TSPY1	
CCL18	
PCDH11Y	Pcdh11x
HNF1B	
DDX39B	
RBMY1J	Gm21708
RBMY1J	Gm21704
RBMY1J	Rbmy
RBMY1J	Gm3376
RBMY1J	Gm10352
RBMY1J	Gm21693
RBMY1J	Gm29289
RBMY1J	Gm4064
RBMY1J	Gm21677
RBMY1J	Gm10256
HLA-DQA2	
ABHD16A	
HLA-B	
PSORS1C2	
POU5F1	
SERTAD4	
PSORS1C1	
ZFP57	
HHAT	
RPS4Y2	
HLA-DQA2	
GPANK1	
MPIG6B	
RBMY1B	Gm21708
RBMY1B	Gm21704
RBMY1B	Rbmy
RBMY1B	Gm3376
RBMY1B	Gm10352
RBMY1B	Gm21693
RBMY1B	Gm29289
RBMY1B	Gm4064
RBMY1B	Gm21677
RBMY1B	Gm10256
PIGW	
CCL5	
SRCIN1	
DDR1	
IER3	
CDY1	
PPP1R10	
RBMY1D	Gm21708
RBMY1D	Gm21704
RBMY1D	Rbmy
RBMY1D	Gm3376
RBMY1D	Gm10352
RBMY1D	Gm21693
RBMY1D	Gm29289
RBMY1D	Gm4064
RBMY1D	Gm21677
RBMY1D	Gm10256
MAS1L	
POU5F1	
DAXX	
GABBR1	
GPSM3	
DUSP14	
GPR179	
TRIM39	
NLGN4Y	
ZNF311	
CISD3	
TAP1	
LHX1	
GTF2H4	
CCL3	
SYNRG	
CSNK2B	
BPY2B	
	
PPT2	
TSPY2	
PRRT1	
HSFY2	Hsfy2
HLA-E	
INPP5D	
HLA-DMA	
	
ABHD16A	
TAP2	
PSMB9	
NRM	
DDX39B	
B3GALT4	
OR2H1	
PPP1R10	
HLA-DOB	
MDC1	
ATG16L1	
TCF19	
OR10C1	
KDM5D	Kdm5d
LTA	
DHX16	
CSNK2B	
C6orf136	
KAT6B	
NCR3	
C4A	
LY6G6C	
RNF39	
C6orf47	
HLA-C	
DDX39B	
CWC25	
CDSN	
TAP2	
VWA7	
C17orf78	
BTNL2	
CCL14	
NELFE	
PRRT1	
HSFY1	Hsfy2
MMP28	
TGIF2LY	Tgif2lx1
TGIF2LY	Tgif2lx2
TSPY3	
LY6G6E	
PPP1R11	
TSBP1	
RBMY1F	Gm21708
RBMY1F	Gm21704
RBMY1F	Rbmy
RBMY1F	Gm3376
RBMY1F	Gm10352
RBMY1F	Gm21693
RBMY1F	Gm29289
RBMY1F	Gm4064
RBMY1F	Gm21677
RBMY1F	Gm10256
NFKBIL1	
TBC1D3B	
HLA-DRB3	
MSH5	
PRRC2A	
TAF15	
EHMT2	
PHF1	
CDY2A	
TRIM40	
HSD17B8	
TSPY8	
SLC39A7	
CDY1B	
AMELY	
ZBTB22	
BPY2C	
MOG	
HLA-DRA	
DAZ4	Dazl
ATP6V1G2	
SAG	
LY6G6D	
MCCD1	
C6orf136	
C6orf47	
	
AGER	
CCL15-CCL14	
IER3	
DHRS11	
HLA-DQB2	
EHMT2	
HLA-E	
ARHGAP23	
DGKD	
CDSN	
TRIM31	
LY6G6C	
CFB	
MUC21	
FLOT1	
FLOT1	
TBC1D3I	
HLA-DOA	
AGER	
CDY2B	
DAZ1	Dazl
HLA-DOA	
DXO	
PSMB3	
HLA-A	
TBC1D3F	
DAZ3	Dazl
TSBP1	
CCL4L2	
OR14J1	
RXRB	
NCR3	
PPP1R10	
CCL3L3	
HLA-DQB1	
SRY	Sry
	
RPS4Y1	
LY6G6F	
LSM2	
NOTCH4	
ZFY	
MUCL3	
VARS2	
IER3	
ZBTB12	
OR2H1	
DDX3Y	Ddx3y
PPT2	
ZBTB12	
PPP1R18	
AIF1	
SLC39A7	
ZNF445	
TAP1	
BCL2L14	
DUSP29	
UTY	Uty
RPP21	
ZNF852	
PRR3	
ZKSCAN7	
C6orf136	
PSMB9	
PRRT1	
HLA-DOB	
LRP6	
ATAT1	
HLA-DPA1	
PRRC2A	
HLA-G	
C4B	
	
OR5P2	
OR5P3	
C2	
OR10A6	
OR10A3	
ZNF660	
NLRP10	
ZNF197	
DDX39B	
GPANK1	
